iter	Passed	Remaining
470	706	793
471	707	791
472	708	789
473	709	787
474	710	785
475	712	783
476	713	781
477	714	779
478	715	777
479	716	776
480	717	774
481	718	772
482	719	770
483	720	768
484	721	766
485	723	764
486	724	762
487	725	761
488	726	759
489	727	757
490	728	755
491	729	753
492	730	751
493	731	749
494	732	747
495	734	745
496	735	744
497	736	742
498	737	740
499	738	738
500	739	736
501	740	734
502	741	732
503	742	730
504	743	728
505	744	726
506	745	724
507	746	722
508	747	720
509	748	719
510	749	717
511	750	715
512	752	713
513	753	712
514	754	710
515	755	708
516	756	706
517	757	705
518	759	703
519	760	701
520	761	699
521	762	697
522	763	696
523	764	694
524	765	692
525	767	691
526	768	689
527	769	687
528	770	685
529	771	684
530	772	682
531	773	680
532	774	678
533	775	676
534	776	674
535	777	673
536	778	671
537	779	669
538	780	667
539	781	665
540	782	664
541	783	662
542	784	660
543	785	658
544	786	656
545	787	655
546	788	653
547	789	651
548	790	649
549	791	647
550	793	646
551	794	644
552	795	642
553	796	641
554	797	639
555	798	637
556	799	635
557	800	634
558	801	632
559	802	630
560	803	628
561	804	626
562	805	625
563	806	623
564	807	621
565	808	620
566	810	618
567	811	617
568	812	615
569	813	613
570	814	612
571	815	610
572	816	608
573	817	606
574	818	605
575	819	603
576	820	601
577	821	599
578	823	598
579	824	596
580	825	595
581	826	593
582	827	591
583	828	590
584	829	588
585	830	586
586	831	584
587	832	583
588	833	581
589	834	579
590	835	578
591	836	576
592	837	574
593	838	573
594	839	571
595	841	570
596	842	568
597	843	566
598	844	565
599	845	563
600	846	562
601	848	560
602	849	559
603	850	557
604	851	555
605	852	554
606	854	553
607	855	551
608	857	550
609	858	548
610	859	547
611	860	545
612	861	543
613	862	542
614	863	540
615	864	539
616	866	537
617	867	536
618	868	534
619	869	533
620	871	531
621	872	530
622	873	528
623	874	527
624	875	525
625	876	523
626	877	522
627	879	520
628	880	519
629	882	518
630	883	516
631	885	515
632	886	513
633	887	512
634	888	510
635	889	508
636	890	507
637	891	505
638	892	504
639	893	502
640	895	501
641	896	499
642	897	498
643	898	496
644	899	495
645	900	493
646	901	492
647	902	490
648	904	488
649	905	487
650	906	485
651	907	484
652	908	482
653	909	481
654	910	479
655	911	478
656	912	476
657	913	475
658	915	473
659	916	471
660	917	470
661	918	468
662	919	467
663	920	465
664	921	464
665	922	462
666	923	461
667	924	459
668	926	458
669	927	456
670	928	455
671	929	453
672	930	452
673	932	450
674	933	449
675	934	447
676	935	446
677	936	444
678	937	443
679	938	441
680	939	440
681	941	438
682	942	437
683	943	436
684	945	434
685	946	433
686	947	431
687	948	430
688	949	428
689	950	427
690	951	425
691	952	424
692	954	422
693	955	421
694	956	419
695	957	418
696	958	416
697	960	415
698	961	413
699	962	412
700	963	411
701	964	409
702	965	408
703	967	406
704	968	405
705	969	403
706	970	402
707	971	400
708	973	399
709	974	397
710	975	396
711	976	395
712	978	393
713	979	392
714	981	391
715	983	389
716	984	388
717	985	387
718	987	385
719	988	384
720	990	383
721	991	381
722	992	380
723	994	378
724	995	377
725	996	376
726	997	374
727	999	373
728	1000	372
729	1002	370
730	1004	369
731	1005	368
732	1007	366
733	1008	365
734	1009	364
735	1010	362
736	1012	361
737	1013	359
738	1014	358
739	1016	357
740	1017	355
741	1018	354
742	1019	352
743	1021	351
744	1022	350
745	1023	348
746	1026	347
747	1027	346
748	1029	344
749	1030	343
750	1031	342
751	1033	340
752	1034	339
753	1035	337
754	1037	336
755	1038	335
756	1039	333
757	1040	332
758	1042	330
759	1043	329
760	1044	328
761	1045	326
762	1047	325
763	1048	323
764	1049	322
765	1050	320
766	1051	319
767	1052	318
768	1054	316
769	1055	315
770	1056	313
771	1057	312
772	1058	310
773	1060	309
774	1061	308
775	1062	306
776	1064	305
777	1065	304
778	1066	302
779	1067	301
780	1068	299
781	1070	298
782	1071	296
783	1072	295
784	1073	293
785	1074	292
786	1075	291
787	1076	289
788	1077	288
789	1078	286
790	1079	285
791	1080	283
792	1081	282
793	1082	280
794	1083	279
795	1084	277
796	1085	276
797	1086	275
798	1087	273
799	1089	272
800	1090	270
801	1091	269
802	1092	267
803	1093	266
804	1094	265
805	1095	263
806	1096	262
807	1097	260
808	1098	259
809	1099	257
810	1100	256
811	1101	254
812	1102	253
813	1103	252
814	1104	250
815	1105	249
816	1106	247
817	1107	246
818	1108	244
819	1109	243
820	1110	242
821	1111	240
822	1112	239
823	1113	237
824	1114	236
825	1116	235
826	1117	233
827	1118	232
828	1119	230
829	1120	229
830	1121	228
831	1122	226
832	1123	225
833	1124	223
834	1125	222
835	1126	221
836	1127	219
837	1128	218
838	1129	216
839	1130	215
840	1131	213
841	1132	212
842	1134	211
843	1135	209
844	1136	208
845	1137	206
846	1138	205
847	1139	204
848	1140	202
849	1141	201
850	1142	200
851	1143	198
852	1144	197
853	1145	195
854	1146	194
855	1147	193
856	1148	191
857	1150	190
858	1151	188
859	1152	187
860	1153	186
861	1154	184
862	1155	183
863	1156	182
864	1157	180
865	1158	179
866	1159	177
867	1160	176
868	1161	175
869	1162	173
870	1164	172
871	1165	171
872	1166	169
873	1167	168
874	1168	166
875	1169	165
876	1170	164
877	1171	162
878	1172	161
879	1173	160
880	1174	158
881	1175	157
882	1176	155
883	1177	154
884	1178	153
885	1179	151
886	1180	150
887	1181	149
888	1183	147
889	1184	146
890	1185	144
891	1186	143
892	1187	142
893	1188	140
894	1189	139
895	1190	138
896	1191	136
897	1192	135
898	1193	134
899	1194	132
900	1195	131
901	1196	130
902	1197	128
903	1198	127
904	1199	125
905	1200	124
906	1201	123
907	1202	121
908	1203	120
909	1204	119
910	1205	117
911	1206	116
912	1207	115
913	1208	113
914	1209	112
915	1210	111
916	1212	109
917	1213	108
918	1213	106
919	1215	105
920	1216	104
921	1217	102
922	1218	101
923	1219	100
924	1219	98
925	1220	97
926	1222	96
927	1223	94
928	1224	93
929	1225	92
930	1226	90
931	1227	89
932	1228	88
933	1229	86
934	1230	85
935	1231	84
936	1233	82
937	1234	81
938	1235	80
939	1236	78
940	1238	77
941	1239	76
942	1240	74
943	1241	73
